Date,Startup,Industry Vertical,SubVertical,City,Investor,Type,Amount in cr
2017-03-16,Frapperz,Consumer Internet,On-demand home services provider,Kolkata,Undisclosed Investor,Seed,0.83
2017-03-16,Mpaani,Consumer Internet,Loyalty rewards app,Mumbai,"IDG Ventures, Blume Ventures, Saha Fund,",Private,11.205
2017-03-16,Shilpmis,Technology,Virtual Reality platform,Surat,"Puneet Gupta, Nimitt Desai & Others",Seed,0.0
2017-03-16,Popxo,Consumer Internet,Digital Media publication for women,New Delhi,"GREE Ventures, Kalaari Capital and IDG Ventures India, Summit Media, Atul Goel, and Gurpreet Singh",Private,25.73
2017-03-17,Fitso,Consumer Internet,Fitness Mobile App,Gurgaon,"Sujeet Kumar, Bhupender Singh, Yashish Dhaiya",Seed,1.66
2017-03-21,Farmart,Technology,Farming rental equipment provider,Gurgaon,Indian Angel Network,Seed,0.0
2017-03-21,Flipkart,eCommerce,ECommerce Marketplace,Bengalore,"Microsoft, eBay, Tencent Holdings",Private,11620.0
2017-03-21,Airpay,Technology,Online payment Gateway,Mumbai,"Kalaari Capital, Rakesh and Rajesh Jhunjhunwala",Private,30.461
2017-03-22,Myglamm,Consumer Internet,On-Demand Beauty Services,Mumbai,L\\xe2\\x80\\x99Occitane,Private,43.99
2017-03-22,The Mons Co,eCommerce,Pregnancy & Baby Care etailer,New Delhi,"Shripad Nadkarni, Nandu Nandkishore",Seed,0.0
2017-03-23,Haqdarshak,Consumer Internet,Tech-Enabled Social Enterprise,Bengalore,"Ravi Saxena, Sandeep Raju,",Seed,1.5853
2017-03-23,Ixigo,Consumer Internet,Online Travel Search Engine,Gurgaon,"Sequoia Capital, Kinzon Capital",Private,124.5
2017-03-24,Markets And Markets,Technology,Marketing Research Company,Pune,"FTV Capital, Zodius Capital",Private,464.8
2017-03-24,Bizom,Technology,supply chain automation platform,Bengalore,Ojas Ventures,Seed,3.1706
2017-03-24,Babyonboard,Consumer Internet,Parenting Mobile App,Bengalore,"Mahavir Sharma, Vishal Jain, Rohit Sethi, Gaurav Luniya",Seed,0.0
2017-03-27,Delhivery,Technology,Tech enabled Fulfilment & Logistics Solutions,New Delhi,"Carlyle Group, Tiger Global",Private,830.0
2017-03-28,Sport Flashes,Consumer Internet,Sports Based Online Media portal,New Delhi,"Vikas Bajaj, Amit Kharbanda,",Seed,0.0
2017-03-28,Fynd,ECommerce,Online fashion marketplace,Mumbai,Venture Catalysts,Private,4.15
2017-03-28,Wigzo,Technology,Enterprise Automation suite,New Delhi,3one4 capital,Private,0.0
2017-03-29,Donething,Consumer Internet,On-demand Personal Assistant service,Gurgaon,Brand Capital,Private,2.49
2017-03-29,Zapyle,ECommerce,Luxury Fashion Marketplace,Bengalore,Undisclosed Investors,Seed,0.0
2017-03-29,Ithaka,Consumer Internet,Vacation Trip Planning platform,Mumbai,"Ankit Gupta, Puneet Motihar",Seed,2.6975
2017-03-29,Perpule,eCommerce,Self-Checkout ECommerce App,Bengalore,KStart Capital,Seed,5.395
2017-03-29,Byju,Consumer Internet,Online Education Platform,Bengalore,Verlinvest,Private,0.0
2017-03-29,Licious,ECommerce,Online Meat Ordering platform,Bengalore,"Mayfield India, 3one4 Capital, Sistema Asia Fund, Neoplux Technology Fund",Private,83.0
2017-03-30,Medinfi,Consumer Internet,Doctor & Hospital search Platform,Bengalore,"Vinod Martin, Hemant Kaul, Prof. Ram Kumar Kakani & Others",Seed,0.415
